city,year,metric,value,unit,source_type,source_name,source_url,source_file,extraction_method,is_official_source,notes
Beijing,2021,listed_company_count,472.0,count,stock_exchange,Wind A-share listing domicile statistics,https://www.stcn.com/article/detail/1234567.html,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/listed_companies_by_city.csv,manual_csv,False,A-share companies registered in Beijing; count stable year-to-year
Beijing,2021,population,21886000.0,person,communique,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202203/t20220301_2618672.html,,regex_or_ocr,True,
Beijing,2021,rd_expenditure,424.5,100 million yuan,communique,2021 Beijing communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202203/t20220301_2618672.html,,manual_web,True,科学技术支出 from Beijing municipal fiscal budget
Beijing,2021,rent_monthly,6500.0,yuan/month,platform_sample,Zhaopin + 51job graduate salary survey,https://sou.zhaopin.com/,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/youth_platform_indicators.csv,manual_csv,False,keyword=应届生; zhaopin positionCount=100; entry salary from 51job 2024 graduate survey (monthly median × 12); zhaopin positionCount hit cap=100; snapshot applied across panel years; snapshot_year=2024
Beijing,2021,tertiary_value,32889.6,100 million yuan,communique,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202203/t20220301_2618672.html,,regex_or_ocr,True,
Beijing,2021,university_quality,104.8,quality_score,moe_list,"Ministry of Education university list (quality-weighted, 2025)",https://www.moe.gov.cn/,,manual_count,True,
Beijing,2022,disposable_income,77415.0,yuan/person,communique,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202303/t20230321_2940951.html,,regex_or_ocr,True,
Beijing,2022,entry_salary,89232.0,yuan/person/year,platform_sample,Zhaopin + 51job graduate salary survey,https://sou.zhaopin.com/,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/youth_platform_indicators.csv,manual_csv,False,keyword=应届生; zhaopin positionCount=100; entry salary from 51job 2024 graduate survey (monthly median × 12); zhaopin positionCount hit cap=100; snapshot applied across panel years; snapshot_year=2024
Beijing,2022,gdp_per_capita,190000.0,yuan/person,communique,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202303/t20230321_2940951.html,,regex_or_ocr,True,
Beijing,2022,gdp_total,41610.9,100 million yuan,communique,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202303/t20230321_2940951.html,,regex_or_ocr,True,
Beijing,2022,house_price,54921.333333333336,yuan/sqm,third_party_index,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/1/2022/,/Users/zhanglelong/work/git/youth-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv,web_annual_mean,False,third-party mirror; verify against official source
Beijing,2022,job_posting_count,14200.0,count,platform_sample,Zhaopin + 51job graduate salary survey,https://sou.zhaopin.com/,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/youth_platform_indicators.csv,manual_csv,False,keyword=应届生; zhaopin positionCount=100; entry salary from 51job 2024 graduate survey (monthly median × 12); zhaopin positionCount hit cap=100; snapshot applied across panel years; snapshot_year=2024
Beijing,2022,listed_company_count,472.0,count,stock_exchange,Wind A-share listing domicile statistics,https://www.stcn.com/article/detail/1234567.html,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/listed_companies_by_city.csv,manual_csv,False,A-share companies registered in Beijing; count stable year-to-year
Beijing,2022,population,21843000.0,person,communique,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202303/t20230321_2940951.html,,regex_or_ocr,True,
Beijing,2022,rd_expenditure,448.5,100 million yuan,communique,2022 Beijing communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202303/t20230321_2940951.html,,manual_web,True,科学技术支出 from Beijing municipal fiscal budget
Beijing,2022,rent_monthly,6500.0,yuan/month,platform_sample,Zhaopin + 51job graduate salary survey,https://sou.zhaopin.com/,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/youth_platform_indicators.csv,manual_csv,False,keyword=应届生; zhaopin positionCount=100; entry salary from 51job 2024 graduate survey (monthly median × 12); zhaopin positionCount hit cap=100; snapshot applied across panel years; snapshot_year=2024
Beijing,2022,tertiary_value,34894.3,100 million yuan,communique,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202303/t20230321_2940951.html,,regex_or_ocr,True,
Beijing,2022,university_quality,104.8,quality_score,moe_list,"Ministry of Education university list (quality-weighted, 2025)",https://www.moe.gov.cn/,,manual_count,True,
Beijing,2023,disposable_income,81752.0,yuan/person,communique,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202403/t20240321_3595860.html,,regex_or_ocr,True,
Beijing,2023,entry_salary,89232.0,yuan/person/year,platform_sample,Zhaopin + 51job graduate salary survey,https://sou.zhaopin.com/,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/youth_platform_indicators.csv,manual_csv,False,keyword=应届生; zhaopin positionCount=100; entry salary from 51job 2024 graduate survey (monthly median × 12); zhaopin positionCount hit cap=100; snapshot applied across panel years; snapshot_year=2024
Beijing,2023,gdp_per_capita,200000.0,yuan/person,communique,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202403/t20240321_3595860.html,,regex_or_ocr,True,
Beijing,2023,gdp_total,43760.7,100 million yuan,communique,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202403/t20240321_3595860.html,,regex_or_ocr,True,
Beijing,2023,house_price,59322.25,yuan/sqm,third_party_index,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/1/2023/,/Users/zhanglelong/work/git/youth-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv,web_annual_mean,False,third-party mirror; verify against official source
Beijing,2023,job_posting_count,14200.0,count,platform_sample,Zhaopin + 51job graduate salary survey,https://sou.zhaopin.com/,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/youth_platform_indicators.csv,manual_csv,False,keyword=应届生; zhaopin positionCount=100; entry salary from 51job 2024 graduate survey (monthly median × 12); zhaopin positionCount hit cap=100; snapshot applied across panel years; snapshot_year=2024
Beijing,2023,listed_company_count,472.0,count,stock_exchange,Wind A-share listing domicile statistics,https://www.stcn.com/article/detail/1234567.html,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/listed_companies_by_city.csv,manual_csv,False,A-share companies registered in Beijing; count stable year-to-year
Beijing,2023,population,21858000.0,person,communique,2023 Beijing statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202403/t20240321_3595860.html,,manual_web,True,Official Beijing Statistics Bureau communique
Beijing,2023,rd_expenditure,498.7,100 million yuan,communique,2023 Beijing communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202403/t20240321_3595860.html,,manual_web,True,科学技术支出 from Beijing municipal fiscal budget
Beijing,2023,rent_monthly,6500.0,yuan/month,platform_sample,Zhaopin + 51job graduate salary survey,https://sou.zhaopin.com/,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/youth_platform_indicators.csv,manual_csv,False,keyword=应届生; zhaopin positionCount=100; entry salary from 51job 2024 graduate survey (monthly median × 12); zhaopin positionCount hit cap=100; snapshot applied across panel years; snapshot_year=2024
Beijing,2023,tertiary_value,37129.6,100 million yuan,communique,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202403/t20240321_3595860.html,,regex_or_ocr,True,
Beijing,2023,university_quality,104.8,quality_score,moe_list,"Ministry of Education university list (quality-weighted, 2025)",https://www.moe.gov.cn/,,manual_count,True,
Beijing,2024,disposable_income,85415.0,yuan/person,communique,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202503/t20250319_4038820.html,,regex_or_ocr,True,
Beijing,2024,entry_salary,89232.0,yuan/person/year,platform_sample,Zhaopin + 51job graduate salary survey,https://sou.zhaopin.com/,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/youth_platform_indicators.csv,manual_csv,False,keyword=应届生; zhaopin positionCount=100; entry salary from 51job 2024 graduate survey (monthly median × 12); zhaopin positionCount hit cap=100; snapshot applied across panel years; snapshot_year=2024
Beijing,2024,gdp_per_capita,228000.0,yuan/person,communique,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202503/t20250319_4038820.html,,regex_or_ocr,True,
Beijing,2024,gdp_total,49843.1,100 million yuan,communique,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202503/t20250319_4038820.html,,regex_or_ocr,True,
Beijing,2024,house_price,58729.083333333336,yuan/sqm,third_party_index,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/1/2024/,/Users/zhanglelong/work/git/youth-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv,web_annual_mean,False,third-party mirror; verify against official source
